Date,KOSPI,Export,Residuals
2005-01-01,932.7,9.76,7.756146413219395
2005-02-01,1011.36,10.74,3.9422774724789016
2005-03-01,965.68,9.98,7.867858640722562
2005-04-01,911.3,10.17,2.3747057886895706
2005-05-01,970.21,10.05,7.516715209442132
2005-06-01,1008.16,10.31,7.586372445478516
2005-07-01,1111.29,9.89,17.191237503587715
2005-08-01,1083.33,9.73,17.04933136410272
2005-09-01,1221.01,10.9,14.71232276617464
2005-10-01,1158.11,11.27,8.376872365626225
2005-11-01,1297.44,10.76,19.481498914049645
2005-12-01,1379.37,10.46,25.22409309943921
2006-01-01,1399.83,10.34,26.89769009831609
2006-02-01,1371.59,10.81,22.392724251389595
2006-03-01,1359.6,11.18,19.205818915159032
2006-04-01,1419.73,11.37,20.46940209812983
2006-05-01,1317.7,12.15,10.119570661572466
2006-06-01,1295.15,12.15,8.960921042441356
2006-07-01,1297.82,11.46,14.261907181291114
2006-08-01,1352.74,11.37,17.52079372253657
2006-09-01,1371.41,12.62,9.389418126078866
2006-10-01,1364.55,13.67,1.48028641102199
2006-11-01,1432.21,12.75,11.406647654254606
2006-12-01,1434.46,12.79,11.234585819200097
2007-01-01,1360.23,11.71,15.405067394165926
2007-02-01,1417.34,12.79,10.422570057898298
2007-03-01,1452.55,12.93,11.11435239332272
2007-04-01,1542.24,13.02,14.51677743553117
2007-05-01,1700.91,13.21,19.655077978057893
2007-06-01,1743.6,14.22,15.192118428433027
2007-07-01,1933.27,13.13,27.91406991053762
2007-08-01,1873.24,12.92,27.23742714593093
2007-09-01,1946.48,15.04,17.88222074055498
2007-10-01,2064.85,14.35,25.331373914247653
2007-11-01,1906.0,14.92,17.140202875171973
2007-12-01,1897.13,15.36,14.374814133625044
2008-01-01,1624.68,13.45,15.19559103761966
2008-02-01,1711.62,15.59,5.648513986667416
2008-03-01,1703.99,15.65,4.95052898787272
2008-04-01,1825.47,15.77,9.325742746982598
2008-05-01,1852.02,18.32,-4.1235295409966035
2008-06-01,1674.92,16.94,-4.288997911235861
2008-07-01,1594.67,16.38,-4.791311033787311
2008-08-01,1474.24,16.27,-10.588028562332838
2008-09-01,1448.06,16.63,-14.590676060050761
2008-10-01,1113.06,15.46,-29.300057827226865
2008-11-01,1076.07,12.82,-9.812227893779149
2008-12-01,1124.47,11.3,6.175290541785486
2009-01-01,1162.11,9.83,20.281603189385915
2009-02-01,1063.03,11.54,0.3022636510592963
2009-03-01,1206.26,11.62,8.270945979292845
2009-04-01,1369.36,12.64,9.143792322495361
2009-05-01,1395.89,13.25,6.124908025450486
2009-06-01,1390.07,13.71,2.5593085481504487
2009-07-01,1557.29,12.76,16.850651935132966
2009-08-01,1591.85,12.59,19.34425860484012
2009-09-01,1673.14,14.13,12.937627955158773
2009-10-01,1580.69,14.77,4.859498089839431
2009-11-01,1555.6,14.78,3.60652062748655
2009-12-01,1682.77,15.0,7.99360596066912
2010-01-01,1602.43,13.97,10.963933708332002
2010-02-01,1594.58,16.12,-3.1324873080291455
2010-03-01,1692.85,15.55,5.067843747680139
2010-04-01,1741.56,16.38,2.219145437031833
2010-05-01,1641.25,18.52,-15.848158368631296
2010-06-01,1698.29,18.28,-11.316648938598005
2010-07-01,1759.33,16.5,2.2935526211133372
2010-08-01,1742.75,15.2,9.312337512679877
2010-09-01,1872.81,18.77,-5.728008726804095
2010-10-01,1882.95,18.44,-3.4185165661447288
2010-11-01,1904.63,17.19,4.478069709999488
2010-12-01,2051.0,18.02,5.716543328843163
2011-01-01,2069.73,19.33,-0.38702228984234244
2011-02-01,1939.3,20.25,-10.895843196477847
2011-03-01,2106.7,20.02,-2.469426471142696
2011-04-01,2192.36,20.65,-2.272950445429539
2011-05-01,2142.47,21.51,-8.57912587092933
2011-06-01,2100.69,20.32,-4.249595162955693
2011-07-01,2133.21,20.83,-5.522907771265581
2011-08-01,1880.11,19.08,-7.138072631960049
2011-09-01,1769.65,21.14,-24.601743796957166
2011-10-01,1909.03,20.72,-14.92316874002227
2011-11-01,1847.51,19.17,-9.168081919256993
2011-12-01,1825.74,19.49,-12.050220890387523
2012-01-01,1955.79,18.73,-1.8699569883716707
2012-02-01,2030.25,20.14,-6.255744397092106
2012-03-01,2014.04,20.14,-6.953591372265154
2012-04-01,1981.99,20.95,-12.718791316606778
2012-05-01,1843.47,20.83,-18.829921586479266
2012-06-01,1854.01,20.96,-19.025522027344998
2012-07-01,1881.99,18.61,-4.414831426311416
2012-08-01,1905.12,17.94,0.3311510509843082
2012-09-01,1996.21,20.64,-10.406417356916572
2012-10-01,1912.06,20.47,-13.391159507322678
2012-11-01,1932.9,19.92,-9.381135265761191
2012-12-01,1997.05,20.87,-11.59846441927737
2013-01-01,1961.94,19.03,-3.23815802193748
2013-02-01,2026.49,20.65,-9.111566573897543
2013-03-01,2004.89,21.03,-12.095502032582152
2013-04-01,1963.95,19.23,-4.236444965908951
2013-05-01,2001.05,21.0,-12.11066573382635
